country	epsilon	CRJ
USA	0.2	69.6
BRA	0.32	29.2
RUS	0.27	25.7
ZAF		 
MEX	0.35	30.7
CHL	0.35	26.7
COL	0.34	32.2
TUR	0.36	25.3
DEU	0.3	17.2
ITA	0.28	22.4
GBR	0.24	12.4
JPN	0.26	12.5
FRA	0.32	12.2
CAN	0.34	4.38
NLD	0.2	4.63
ESP	0.26	8.54
IND	0.41	10.2
CHN	0.3	10.8
IDN	0.28	23.8
THA	0.39	17.5
VNM	0.27	12.8
PHL	0.33	13.4
EGY	0.35	14.7
IRN	0.34	16.2
PAK	0.26	12.4
BGD	0.26	12.4
NER	0.27	12.8
CIV	0.38	18.5
DZA	0.35	14.7
ARE	0.33	14.2
AUS	0.24	11.7
NZL	0.25	11.7
CHE	0.36	16.9
BEL	0.17	10.7
FIN	0.24	11.1
PRT	0.34	13.1
CZE	0.3	12.1
SVK	0.24	6.64
HUN	0.38	17.2
NOR	0.34	14.6
